Name,Main category,Sub category,Valve,Level,Combined_tags
\\PIGILCollective\SACPP_CEN_LIC2920_PV,Utility,Separators,0,Y,SACPP_CEN_LIC2920_PV CONDENSATE LEVEL
\\PIGILCollective\SACPP_CEN_FI2921_PV,Utility,Separators,0,0,SACPP_CEN_FI2921_PV GAS OUTLET FLOW RATE
\\PIGILCollective\SACPP_CEN_PI2921_PV,Utility,Separators,0,0,SACPP_CEN_PI2921_PV GAS OUTLET PRESSURE
\\PIGILCollective\SACPP_CEN_TI2921_PV,Utility,Separators,0,0,SACPP_CEN_TI2921_PV GAS OUTLET TEMPERATURE
\\PIGILCollective\SACPP_CEN_PIC2920_PV,Utility,Separators,Yes,0,SACPP_CEN_PIC2920_PV INLET PRESSURE
\\PIGILCollective\SACPP_CEN_PIC2920_MV,Utility,Separators,Yes,0,SACPP_CEN_PIC2920_MV INLET PRESSURE CONTROL VALVE A
\\PIGILCollective\SACPP_CEN_PIC2336_MV,Gas_Processing,Separators,Yes,0,SACPP_CEN_PIC2336_MV INLET PRESSURE CONTROL VALVE B
\\PIGILCollective\SACPP_CEN_PIC2335_MV,Gas_Processing,Separators,Yes,0,SACPP_CEN_PIC2335_MV INLET PRESSURE CONTROL VALVE C
\\PIGILCollective\SACPP_CEN_PIC2930_MV,Utility,Separators,Yes,0,SACPP_CEN_PIC2930_MV BLANKET GAS PRESSURE CONTROL VALVE
\\PIGILCollective\SACPP_CEN_LI2930_PV,Utility,Separators,0,Y,SACPP_CEN_LI2930_PV LIQUID LEVEL
\\PIGILCollective\SACPP_CEN_PIC2931_MV,Utility,Separators,Yes,0,SACPP_CEN_PIC2931_MV PRESSURE CONTROL VALVE TO FLARE
\\PIGILCollective\SACPP_CEN_PI2930_PV,Utility,Separators,0,0,SACPP_CEN_PI2930_PV VESSEL PRESSURE A
\\PIGILCollective\SACPP_CEN_LIC2958_PV,Liquid_Processing,Separators,0,Y,SACPP_CEN_LIC2958_PV LIQUID LEVEL
\\PIGILCollective\SACPP_CEN_LIC2958_MV,Liquid_Processing,Separators,Yes,0,SACPP_CEN_LIC2958_MV LIQUID LEVEL CONTROL VALVE
\\PIGILCollective\SACPP_CEN_LIC2968_PV,Liquid_Processing,Separators,0,Y,SACPP_CEN_LIC2968_PV LIQUID LEVEL
\\PIGILCollective\SACPP_CEN_LIC2968_MV,Liquid_Processing,Separators,Yes,0,SACPP_CEN_LIC2968_MV LIQUID LEVEL CONTROL VALVE
\\PIGILCollective\SACPP_CEN_PI2927_PV,Utility,Separators,0,0,SACPP_CEN_PI2927_PV INLET PRESSURE
\\PIGILCollective\SACPP_CEN_LI2980_PV,Utility,Separators,0,Y,SACPP_CEN_LI2980_PV LIQUID LEVEL
\\PIGILCollective\SACPP_CEN_PI2980_PV,Utility,Separators,0,0,SACPP_CEN_PI2980_PV VESSEL PRESSURE A
\\PIGILCollective\SACPP_CEN_LIC2061_PV,Liquid_Processing,Separators,0,Y,SACPP_CEN_LIC2061_PV CONDENSATE LEVEL
\\PIGILCollective\SACPP_CEN_FIC2061_MV,Gas_Processing,Separators,Yes,0,SACPP_CEN_FIC2061_MV CONDENSATE OUTLET FLOW CONTROL VALVE
\\PIGILCollective\SACPP_CEN_FIC2061_PV,Gas_Processing,Separators,Yes,0,SACPP_CEN_FIC2061_PV CONDENSATE OUTLET FLOW RATE
\\PIGILCollective\SACPP_CEN_LIC2061_MV,Liquid_Processing,Separators,Yes,0,SACPP_CEN_LIC2061_MV CONDENSATE OUTLET LEVEL CONTROL VALVE A
\\PIGILCollective\SACPP_CEN_FI2060_PV,Gas_Processing,Separators,0,0,SACPP_CEN_FI2060_PV GAS OUTLET FLOW RATE
\\PIGILCollective\SACPP_CEN_TI2060_PV,Gas_Processing,Separators,0,0,SACPP_CEN_TI2060_PV GAS OUTLET TEMPERATURE
\\PIGILCollective\SACPP_CEN_LIC2060_MV,Liquid_Processing,Separators,Yes,0,SACPP_CEN_LIC2060_MV INLET LEVEL CONTROL VALVE A
\\PIGILCollective\SACPP_CEN_FIC2062_MV,Gas_Processing,Separators,Yes,0,SACPP_CEN_FIC2062_MV OILY WATER FLOW CONTROL VALVE
\\PIGILCollective\SACPP_CEN_FIC2062_PV,Gas_Processing,Separators,Yes,0,SACPP_CEN_FIC2062_PV OILY WATER FLOW RATE
\\PIGILCollective\SACPP_CEN_PIC2060_MV,Gas_Processing,Separators,Yes,0,SACPP_CEN_PIC2060_MV PRESSURE CONTROL VALVE TO FLARE
\\PIGILCollective\SACPP_CEN_LIC2060_PV,Liquid_Processing,Separators,0,Y,SACPP_CEN_LIC2060_PV TOTAL LIQUID LEVEL
\\PIGILCollective\SACPP_CEN_PIC2060_PV,Gas_Processing,Separators,Yes,0,SACPP_CEN_PIC2060_PV VESSEL PRESSURE
\\PIGILCollective\SACPP_CEN_LIC2062_PV,Liquid_Processing,Separators,0,Y,SACPP_CEN_LIC2062_PV WATER LEVEL
\\PIGILCollective\SACPP_CEN_LIC2062_MV,Liquid_Processing,Separators,Yes,0,SACPP_CEN_LIC2062_MV WATER LEVEL CONTROL VALVE
\\PIGILCollective\SACPP_CEN_LIC2291_PV,Liquid_Processing,Separators,0,Y,SACPP_CEN_LIC2291_PV CONDENSATE LEVEL
\\PIGILCollective\SACPP_CEN_FIC2291_MV,Gas_Processing,Separators,Yes,0,SACPP_CEN_FIC2291_MV CONDENSATE OUTLET FLOW CONTROL VALVE
\\PIGILCollective\SACPP_CEN_FIC2291_PV,Gas_Processing,Separators,Yes,0,SACPP_CEN_FIC2291_PV CONDENSATE OUTLET FLOW RATE
\\PIGILCollective\SACPP_CEN_LIC2291_MV,Liquid_Processing,Separators,Yes,0,SACPP_CEN_LIC2291_MV CONDENSATE OUTLET LEVEL CONTROL VALVE A
\\PIGILCollective\SACPP_CEN_FI2290_PV,Gas_Processing,Separators,0,0,SACPP_CEN_FI2290_PV GAS OUTLET FLOW RATE
\\PIGILCollective\SACPP_CEN_TI2290_PV,Gas_Processing,Separators,0,0,SACPP_CEN_TI2290_PV GAS OUTLET TEMPERATURE
\\PIGILCollective\SACPP_CEN_LIC2290_MV,Liquid_Processing,Separators,Yes,0,SACPP_CEN_LIC2290_MV INLET LEVEL CONTROL VALVE A
\\PIGILCollective\SACPP_CEN_FIC2292_MV,Gas_Processing,Separators,Yes,0,SACPP_CEN_FIC2292_MV OILY WATER FLOW CONTROL VALVE
\\PIGILCollective\SACPP_CEN_FIC2292_PV,Gas_Processing,Separators,Yes,0,SACPP_CEN_FIC2292_PV OILY WATER FLOW RATE
\\PIGILCollective\SACPP_CEN_PIC2290_MV,Gas_Processing,Separators,Yes,0,SACPP_CEN_PIC2290_MV PRESSURE CONTROL VALVE TO FLARE
\\PIGILCollective\SACPP_CEN_LIC2290_PV,Liquid_Processing,Separators,0,Y,SACPP_CEN_LIC2290_PV TOTAL LIQUID LEVEL
\\PIGILCollective\SACPP_CEN_PIC2290_PV,Gas_Processing,Separators,Yes,0,SACPP_CEN_PIC2290_PV VESSEL PRESSURE
\\PIGILCollective\SACPP_CEN_LIC2292_PV,Liquid_Processing,Separators,0,Y,SACPP_CEN_LIC2292_PV WATER LEVEL
